date_mm_dd,leap_day_index,base_seasonal_color,light_background,light_text,light_slider_accent,dark_background,dark_text,dark_slider_accent
01-01,1,#A9C7D8,#F5F4F4,#355240,#A9C7D8,#2F4435,#F5F3F4,#E8E1E9
01-02,2,#A8C7D7,#F5F4F4,#355240,#A8C7D7,#2F4435,#F4F3F4,#E8E0E8
01-03,3,#A7C6D6,#F5F3F4,#35513F,#A7C6D6,#2F4335,#F4F3F3,#E7E0E8
01-04,4,#A6C6D5,#F5F3F4,#34513F,#A6C6D5,#2F4335,#F4F2F3,#E7DFE8
01-05,5,#A5C6D3,#F4F3F4,#34503E,#A5C6D3,#2F4234,#F4F2F3,#E6DFE7
01-06,6,#A4C5D2,#F4F3F3,#34503E,#A4C5D2,#2F4234,#F4F2F3,#E5DEE6
01-07,7,#A3C5D1,#F4F3F3,#344F3E,#A3C5D1,#2E4234,#F3F2F3,#E5DEE6
01-08,8,#A2C5D0,#F4F2F3,#344F3D,#A2C5D0,#2E4234,#F3F2F2,#E4DEE6
01-09,9,#A1C4CE,#F3F2F3,#344E3D,#A1C4CE,#2E4133,#F3F1F2,#E4DDE5
01-10,10,#A0C4CD,#F3F2F3,#344E3D,#A0C4CD,#2E4133,#F3F1F2,#E3DDE5
01-11,11,#A0C4CC,#F3F2F3,#344D3C,#A0C4CC,#2E4033,#F3F1F2,#E3DCE4
01-12,12,#9FC3CB,#F3F2F2,#344D3C,#9FC3CB,#2E4033,#F2F1F2,#E2DCE4
01-13,13,#9EC3C9,#F3F2F2,#344C3B,#9EC3C9,#2E4032,#F2F1F1,#E2DBE3
01-14,14,#9DC2C8,#F3F1F2,#334C3B,#9DC2C8,#2E3F32,#F2F1F1,#E1DBE3
01-15,15,#9CC2C6,#F2F1F2,#334B3B,#9CC2C6,#2E3F32,#F2F0F1,#E0DBE2
01-16,16,#9BC1C5,#F2F1F2,#334B3A,#9BC1C5,#2D3E32,#F1F0F1,#E0DAE2
01-17,17,#9BC0C4,#F2F1F1,#334A3A,#9BC0C4,#2D3E31,#F1F0F1,#E0DAE1
01-18,18,#9AC0C2,#F2F1F1,#334A3A,#9AC0C2,#2D3E31,#F1F0F0,#DFD9E1
01-19,19,#99BFC1,#F2F0F1,#334939,#99BFC1,#2D3D31,#F1F0F0,#DED9E0
01-20,20,#98BEBF,#F1F0F1,#334939,#98BEBF,#2D3D31,#F1EFF0,#DED8DF
01-21,21,#98BEBE,#F1F1F0,#334839,#98BEBE,#2D3D30,#F0F0EF,#DDDFD8
01-22,22,#97BDBC,#F1F1F0,#324838,#97BDBC,#2D3C30,#F0F0EF,#DDDFD8
01-23,23,#96BBBA,#F1F0F0,#324738,#96BBBA,#2D3C30,#F0EFEF,#DCDED7
01-24,24,#96BAB8,#F1F0F0,#324738,#96BAB8,#2D3C30,#F0EFEF,#DCDED7
01-25,25,#95B8B6,#F0F0EF,#324637,#95B8B6,#2C3B2F,#F0EFEF,#DBDDD7
01-26,26,#94B7B4,#F0F0EF,#324637,#94B7B4,#2C3B2F,#EFEFEE,#DBDCD6
