year,event,date
2023,spring,2023-03-20T21:24:00Z
2023,winter,2023-12-22T03:27:00Z
2024,spring,2024-03-20T03:06:00Z
2024,summer,2024-06-20T20:51:00Z
2024,autumn,2024-09-22T12:44:00Z
2024,winter,2024-12-21T09:20:00Z
2024,lunar-new-year,2024-02-10
2024,chuseok,2024-09-17
2025,spring,2025-03-20T09:01:00Z
2025,summer,2025-06-21T02:42:00Z
2025,autumn,2025-09-22T18:19:00Z
2025,winter,2025-12-21T15:03:00Z
2025,lunar-new-year,2025-01-29
2025,chuseok,2025-10-06
2026,spring,2026-03-20T14:46:00Z
2026,summer,2026-06-21T08:24:00Z
2026,autumn,2026-09-23T00:05:00Z
2026,winter,2026-12-21T20:50:00Z
2026,lunar-new-year,2026-02-17
2026,chuseok,2026-09-25
2027,spring,2027-03-20T20:25:00Z
2027,summer,2027-06-21T14:11:00Z
2027,autumn,2027-09-23T06:02:00Z
2027,winter,2027-12-22T02:42:00Z
2027,lunar-new-year,2027-02-07
2027,chuseok,2027-09-15
2028,spring,2028-03-20T02:17:00Z
2028,summer,2028-06-20T20:02:00Z
2028,autumn,2028-09-22T11:45:00Z
2028,winter,2028-12-21T08:19:00Z
2028,lunar-new-year,2028-01-27
2028,chuseok,2028-10-03
2029,spring,2029-03-20T08:02:00Z
